price,pricePerSquareFoot,city,yearBuilt,livingAreaValue,bathrooms,bedrooms,buildingArea,parking,garageSpaces,hasGarage,levels,pool,spa,isNewConstruction,homeType,county
279900.0,216.0,Athens,1988,0.02975206611570248,3.0,2.0,1296.0,1,0.0,0,Two,0,0,0,CONDO,Clarke County
599900.0,173.0,Athens,1968,3459.0,3.0,4.0,3459.0,1,0.0,1,One,0,0,0,SINGLE_FAMILY,Clarke County
239900.0,243.0,Athens,1950,0.02265840220385675,1.0,2.0,987.0,1,0.0,0,One,0,0,0,SINGLE_FAMILY,Clarke County
300000.0,231.0,Athens,1945,1296.0,1.0,2.0,1296.0,1,0.0,1,One,0,0,0,SINGLE_FAMILY,Clarke County
430000.0,224.0,Athens,1965,0.044123048668503216,3.0,3.0,1922.0,1,0.0,0,One,0,0,0,SINGLE_FAMILY,Clarke County
339000.0,160.0,Athens,1957,2125.0,3.0,4.0,2125.0,1,0.0,1,One,0,0,0,SINGLE_FAMILY,Clarke County
349900.0,245.0,Athens,2006,1430.0,2.0,3.0,1430.0,1,0.0,0,One and One Half,0,0,0,SINGLE_FAMILY,Clarke County
664000.0,227.0,Athens,1989,2921.0,3.0,3.0,2921.0,1,0.0,1,One,0,0,0,SINGLE_FAMILY,Clarke County
319990.0,258.0,Athens,1930,0.028466483011937556,2.0,3.0,1240.0,1,0.0,0,One,0,0,0,SINGLE_FAMILY,Clarke County
915000.0,186.0,Athens,1948,4919.0,6.0,7.0,4919.0,1,0.0,0,Two,0,0,0,SINGLE_FAMILY,Clarke County
499900.0,252.0,Athens,1962,1983.0,2.0,3.0,1983.0,1,0.0,1,One,0,0,0,SINGLE_FAMILY,Clarke County
405000.0,220.0,Athens,2020,0.04226354453627181,3.0,3.0,1841.0,1,0.0,1,Two,0,0,1,SINGLE_FAMILY,Clarke County
215000.0,236.0,Athens,1945,0.02089072543617998,1.0,2.0,910.0,1,0.0,0,One,0,0,0,SINGLE_FAMILY,Clarke County
299900.0,124.0,Athens,1970,2412.0,3.0,4.0,2412.0,1,0.0,1,One,0,0,0,SINGLE_FAMILY,Clarke County
415000.0,145.0,Athens,2007,2854.0,4.0,4.0,2854.0,1,0.0,1,Two,0,0,0,SINGLE_FAMILY,Clarke County
169000.0,207.0,Athens,1977,816.0,1.0,2.0,816.0,1,0.0,0,One,0,0,1,SINGLE_FAMILY,Clarke County
310000.0,151.0,Athens,2018,2048.0,3.0,4.0,2048.0,0,0.0,1,Two,0,0,0,SINGLE_FAMILY,Clarke County
535000.0,132.0,Athens,1974,4042.0,4.0,0.0,4042.0,1,0.0,1,Two,0,0,0,SINGLE_FAMILY,Clarke County
